Timestamp,empresa,local_empresa,cargo,senioridade,plataforma,contrato,remuneracao_reais,descricao,skills,data_post,observacoes,application,responsabilidades,qualificacoes,inglês,diferenciais,status
10/18/2025,a,camacari,analista_dados,junior,gupy,ni,ni,"Estamos à procura de uma pessoa para fazer parte do nosso time corporativo e apoiar a área de dados, garantindo a qualidade, a disponibilidade e a confiabilidade das informações. Colaborar na construção de relatórios e dashboards, no suporte à governança de dados e na automação de processos, contribuindo para a tomada de decisão e para o contínuo aprimoramento dos fluxos de trabalho.","power_automate, microsoft_data_fabric",10/10/2025,,10/13/2025,". Auxiliar na extração, tratamento e carga de dados (ETL) de diversas fontes — ERPs, bancos de dados, arquivos legados e serviços em nuvem; Construir e manter dashboards no Power BI (Desktop e Service), traduzindo requisitos de negócio em indicadores visuais claros e acionáveis; Apoiar a gestão de projetos de BI e automações (RPA, Power Automate, agentes de IA), acompanhando cronogramas e entregas realizadas por consultorias ou parceiros externos; Monitorar e resolver incidentes de atualização de relatórios, garantindo que eventuais falhas sejam rapidamente identificadas e corrigidas; Colaborar com a implementação das melhores práticas de Governança de Dados no Microsoft Fabric, auxiliando em cadastros, permissões e políticas de qualidade; Prestar suporte e capacitação a usuários finais, conduzindo treinamentos e elaborando guias de uso das ferramentas de análise de dados; Documentar processos, fluxos de dados e regras de negócio, assegurando retenção de conhecimento e facilitando futuras manutenções; Participar de iniciativas de melhoria contínua, sugerindo otimizações no design de relatórios, performance de consultas e automações.","Ensino Superior completo em Ciência de Dados, Análise de Sistemas, Ciência da Computação ou áreas afins; Experiência em Power Automate;",nao_menciona,"Experiência em Microsoft Data Fabric, ServiceNow - desejável; Experiência com agentes de IA (por ex. Azure Open IA, N8N) - desejável.",pendente
10/18/2025,b,rio de janeiro,analista_dados,junior,gupy,ni,ni,,"python, sql, powerbi, R, superset, metabase, estatistica, modelagem",10/9/2025,,10/13/2025,"Organização e limpeza de bases de dados de diferentes origens. Auxiliar na construção de relatórios e dashboards em ferramentas de Business Intelligence (ex.: Power BI, Superset e Metabase). Apoiar análises exploratórias de dados para identificar padrões, tendências e oportunidades. Garantir a atualização e manutenção de bases de dados utilizadas pelo time e pelas áreas de negócio. Trabalhar em conjunto com analistas plenos/sêniores e engenheiros de dados, aprendendo e se desenvolvendo em projetos cada vez mais complexos. Documentar processos, análises e boas práticas para apoiar a evolução da área.","Conhecimento básico em SQL para consultas em bases de dados. Noções de ferramentas de BI (ex.: Power BI, Superset e Metabase) e de manipulação de dados. Capacidade analítica, atenção a detalhes e vontade de aprender em um ambiente dinâmico. Boa comunicação para colaborar com áreas diversas da organização.",nao_menciona,"Experiência prévia em estágio ou projetos acadêmicos envolvendo análise de dados. Conhecimento básico em Python ou R para análise estatística. Noções de estatística aplicada e modelagem de dados. Vivência em empresas de tecnologia, saúde digital ou startups",pendente
10/20/2025,c,porto alegre,analista_bi,ni,site_empresa,pj,ni,,"sql, powerbi, dashboard",9/29/2025,,10/20/2025,"Desenvolver e monitorar atividades de Power BI. Realizar ajustes, cooperar entres as equipes para melhoria continua das informações que envolvem a area de BI. Automatizar processos, desenvolver melhorias e realizar validação de dados, como também automatizar informações no dia a dia. Suporte ao time de campo e coordenação de operação, em suas demandas e necessidades.","Ensino Superior, SQL - Nivel Avançado, Elaboração e análise de relatórios e dashboards, Power BI - Nível Avançado, Inteligência Emocional, Foco no Resultado, Comunicação Eficaz",nao_menciona,Experiência profissional,pendente
10/21/2025,d,curitiba,analista_dados,especialista,linkedin,clt,ni,Esta vaga irá atender nosso cliente no segmento da tecnologia.,"powerbi, tableau, storytelling, modelagem, visualizacao, estatistica, arquitetura, spark, scala",10/20/2025,,10/21/2025,"Coletar e interpretar dados do estado bruto para insights; Criar soluções (dashboards, papers, insights); Atuar como ponte principal entre as equipes de dados técnicos e os requisitos de dados de negócio; Análises exploratórias, descritivas e preditivas end-to-end; Desenvolvimento de soluções de Self-Service de dados; Suporte à tomada de decisão das áreas de negócio; Ser ponto de contato (BP) com times de negócio, squads e/ou liderança; Identificação de oportunidades de projetos; Desenvolvimento do time de dados; Desenvolvimento de projetos internos.","Estatística: Análise Descritiva, probabilidade, inferência, bootstrapping, testes de hipótese, regressão, modelagem e métodos quantitativos; Data Visualization: Drill down e Roll up, slice & dice, LOD; Storytelling: Frameworks de análise, sumarização de problemas, use cases, personas; Lógica de Programação: escrever e revisar queries em banco de dados, usar parâmetros, criar variáveis;
Business-driven: Conhecer o dia a dia de áreas de negócio, métricas de mercado, processos e necessidades. Pensar na solução antes da execução técnica; Comunicação: Ser interface com stakeholders e múltiplas áreas. Mapear necessidades de curto, médio e longo prazos. Comunicação clara para guiar equipes internas e externas; Power BI; Modelagem de Dados (Star Schema, SnowFlake, modelo de Fato e Dimensão); SQL; Arquitetura Medalhão (Lakehouse/Data Lake); Business Analytics/Insights.",nao_menciona,Scala (Desejável); Spark/PySpark(Desejável); Tableau (disposição para aprender caso não saiba) (Desejável). ,pendente
10/21/2025,e,osasco,analista_bi,senior,site_empresa,ni,ni,,"sql, modelagem, estatistica, kpi",10/21/2025,,10/21/2025,"Identificar desafios e oportunidades, explorar e analisar dados para chegar a conclusões e recomendações façam sentido para o negócio; Diariamente entregar resultados de alto impacto de forma ágil e interativa; Relacionamento com outras áreas de negócio com o objetivo de buscar sinergia e eficiência; Estruturação, tratando e transformando dados para criar reports e dashboards.","Visão analítica e foco em tomada de decisões de negócio baseadas em dados; Capacidade de investigação, estruturação e resolução de problemas complexos; Boas habilidades de comunicação com stakeholders em todos níveis do negócio; Experiência com gestão de indicadores de negócios, controles e custos; Fluência em SQL; Conhecimentos em modelagem de dados; Conhecimentos em estatística.",nao_menciona,,pendente
10/21/2025,f,porto alegre,analista_dados,junior,gupy,ni,ni,Desenvolvimento de dashboards em Power BI; Aplicar modelos estatísticos para testar e validar hipóteses que ajudem na tomada de decisões; Identificar oportunidades de negócio através dos dados e propor soluções; Manipular grandes massas de dados (estruturados e não estruturados);,"sql, powerbi, relacional, nao_relacional, metodos_ageis",10/21/2025,,10/21/2025,"Análise de necessidades e desenvolvimento de soluções Analytics; Integração e gestão de dados corporativos; Apoiar no levantamento e acompanhamento dos processos estratégicos de negócios da companhia; Definir indicadores, métricas e relatórios com os principais dashboards da área de Tecnologia; Acompanhar novas demandas do time de Tecnologia; Manter o backlog das soluções; Apoiar na governança dos projetos do time.","Formação completa em andamento ou em áreas de TI; Conhecimentos na implementação de ferramentas de BI; Conhecimentos na implementação dos principais conceitos do mercado de dados; Excelentes habilidades de comunicação; Capacidade de gerenciar tarefas, tempo e qualidade de processos; Conhecimento em linguagem SQL; Estrutura de Bancos de Dados (relacional e não relacional); Conhecimento em plataformas de BI (preferencialmente PowerBI);
Conhecimento em métodos de desenvolvimento ágil;",nao_menciona,,pendente
10/24/2025,g,porto alegre,analista_bi,junior,jobii,ni,ni,"Estamos em busca de uma Pessoa Analista BI Júnior para embarcar na nossa nave e, juntos, impulsionarmos pessoas e negócios por meio da inovação.","sql, powerbi, dax, metodos_ageis, azure,power_query,",10/24/2025,,10/24/2025,"Desenvolver e aprimorar painéis de indicadores e produtividade nas plataformas de BI (Power BI, Azure, SQL, entre outras); Apoiar tecnicamente a liderança no acompanhamento das metas e resultados operacionais; Garantir qualidade, padronização e atualização contínua das bases de dados utilizadas nos painéis; Elaborar análises e estudos técnicos que subsidiem recomendações estratégicas para aumento da eficiência e qualidade;","Conhecimento em ferramentas de Business Intelligence (Power BI, DAX, Power Query);
Experiência com linguagem SQL para manipulação e integração de dados;
Noções de Azure Data Services (Data Factory, Synapse, SQL Database);
Boa capacidade analítica e visão de negócio;
Experiência em metodologias ágeis (Scrum/Kanban);
Comunicação e trabalho em equipe.
Noções de governança de dados e segurança da informação;",nao_menciona,,pendente
10/27/2025,h,sao paulo,data_visualization_specialist,especialista,gupy,clt,ni,"Como Data Visualization Specialist você terá rotina de experiência sólida em Looker (Google) para modelagem e governança de dados. Procuramos alguém capaz de transformar dados complexos em dashboards claros, intuitivos e acionáveis, garantindo consistência, governança e impacto para diferentes áreas de negócio.","sql, powerbi, looker, modelagem, visualizacao, storytelling, dashboard, gcp",9/23/2025,,10/27/2025,"Projetar, desenvolver e manter dashboards e relatórios interativos em Looker (LookML, Explores, Dashboards); Apoiar a definição e manutenção de métricas, KPIs e camadas semânticas para diferentes áreas da empresa; Garantir qualidade e consistência dos dados exibidos, em alinhamento com engenharia e analytics; Atuar na tradução de requisitos de negócio em soluções visuais que apoiem a tomada de decisão; Otimizar queries e modelos de dados para garantir performance em larga escala; Disseminar boas práticas de design e storytelling com dados no time; Apoiar a evolução da cultura data-driven, facilitando o acesso a informações confiáveis e fáceis de interpretar.","Experiência sólida com Looker (LookML, modelagem, dashboards); Domínio em SQL para exploração, modelagem e criação de fontes de dados; Capacidade de traduzir necessidades de negócio em soluções visuais escaláveis; Conhecimento em boas práticas de UX e Data Storytelling; Boa comunicação para interação com times técnicos e não técnicos.",nao_menciona,Experiência com Power BI; Conhecimentos em Google Cloud Platform (GCP); Vivência em governança de dados e métricas; Experiência com versionamento de LookML (Git) e boas práticas de DevOps/CI para BI.,suspensa
10/27/2025,h,sao paulo,analista_dados,pleno,gupy,clt,ni,"Como Data Analyst Pleno, você irá poiar a tomada de decisão utilizando dados, orientando as áreas sobre a forma mais adequada de consumo e qual o dado mais adequado para cada situação de negócio;","sql, powerbi, looker, modelagem, visualizacao, metodos_ageis",7/28/2025,,10/27/2025,"Apoiar a tomada de decisão utilizando dados, orientando as áreas sobre a forma mais adequada de consumo e qual o dado mais adequado para cada situação de negócio; Apoiar na construção de dashboards e relatórios automatizados (em ferramentas como Looker Studio, Power BI ou similares); Realizar análises exploratórias e identificar padrões, tendências e oportunidades de melhoria;
Trabalhar em parceria com analistas mais experientes e stakeholders internos para transformar necessidades de negócio em soluções de dados; Acompanhar métricas de performance digital e apoiar a geração de insights para otimização de estratégias. ","Experiência em levantamento de requisitos e entendimento de problemas de negócio, com capacidade de traduzir dores reais em soluções baseadas em dados; Conhecimentos sólidos em SQL e modelagem de dados; Vivência na construção de relatórios e dashboards em ferramentas de visualização de dados — Power BI é mandatório; conhecimento em outras ferramentas é um diferencial; Habilidade de comunicação clara, tanto com times técnicos quanto com áreas de negócio; Segurança para interagir com diferentes stakeholders, inclusive com cargos executivos, atuando como ponte entre o dado e a decisão;
Capacidade de traduzir soluções técnicas em mensagens compreensíveis e orientadas ao valor para o cliente; Experiência com metodologias ágeis e ferramentas de gestão de tarefas (preferencialmente Jira); Inglês intermediário (para leitura, escrita e comunicação pontual).",intermediario,,pendente
10/27/2025,i,sao paulo,analista_bi,junior,solides,pj,ni,"O Analista de Business Intelligence (BI) é responsável por analisar e levantar requisitos, definir a modelagem e os modelos de dados a serem tratados e transformados, além de estudar e implementar as melhores ferramentas para extração de dados. Esse profissional elabora planos estratégicos e realiza a gestão de projetos de BI, incluindo o desenvolvimento de dashboards, relatórios e visualizações que facilitem a tomada de decisão baseada em dados.","sql, tableau, excel, visualizacao",10/25/2025,,10/27/2025," Auxiliar na coleta e processamento de dados.  Realizar tarefas de suporte básico no desenvolvimento de dashboards e relatórios.
 Acompanhar a equipe pleno e sênior em projetos de BI.  Suporte ao cliente nivel l.","Escolaridade: Graduação. Habilidade Técnica: Formação superior em andamento ou recém-concluída. Conhecimento básico em SQL e ferramentas de visualização de dados (e.g., Excel, Tableau).",nao_menciona,,pendente
10/28/2025,j,maceio,analista_dados,ni,site_empresa,pj,ni,,"sql, etl, versionamento, spark,hadoop,data_lake,git,azure,big_data, dashboard, arquitetura, spark, ssis",10/14/2025,temporária,10/28/2025,"Desenvolver e manter ETLs e Dashboards; Gerenciar volume, variedade, velocidade e veracidade dos dados; Criação de Queries em SQL; Suporte ao usuário dos dashboards.","Proatividade; Facilidade de comunicação. Desenvolver e manter ETLs e Dashboards; Gerenciar volume, variedade, velocidade e veracidade dos dados; Criação de Queries em SQL; Suporte ao usuário dos dashboards; Arquitetura e estruturas de dados.",nao_menciona,"Experiência em pipelines de fluxo de dados utilizando ferramentas de ETL como Pentaho, SSIS, etc; Conhecimento em tecnologias de Big Data incluindo Hadoop, Spark; Experiência nas ferramentas de tecnonologias de Dados da Azure (Data Lake Storage, Azure Data Factory, Synapse Analytics, Azure Databricks); Ter atuado previamente na construção de um Data Lake; Controle de versões Git.",pendente
